Commodities,City,Date,Price
Bawang Merah,kab-sintang,2020-01-01,41250
Bawang Merah,kab-sintang,2020-04-01,41250
Bawang Merah,kab-sintang,2020-05-01,52500
Bawang Merah,kab-sintang,2020-06-01,63600
Bawang Merah,kab-sintang,2020-07-01,44050
Bawang Merah,kab-sintang,2020-09-01,30600
Bawang Merah,kab-sintang,2020-10-01,30250
Bawang Merah,kab-sintang,2020-12-01,37650
Bawang Merah,kab-sintang,2020-01-02,37200
Bawang Merah,kab-sintang,2020-03-02,36850
Bawang Merah,kab-sintang,2020-04-02,41250
Bawang Merah,kab-sintang,2020-06-02,59200
Bawang Merah,kab-sintang,2020-07-02,43450
Bawang Merah,kab-sintang,2020-09-02,30650
Bawang Merah,kab-sintang,2020-10-02,30250
Bawang Merah,kab-sintang,2020-11-02,35550
Bawang Merah,kab-sintang,2020-12-02,37500
Bawang Merah,kab-sintang,2020-01-03,37250
Bawang Merah,kab-sintang,2020-02-03,39600
Bawang Merah,kab-sintang,2020-03-03,36800
Bawang Merah,kab-sintang,2020-04-03,41300
Bawang Merah,kab-sintang,2020-06-03,59150
Bawang Merah,kab-sintang,2020-07-03,43000
Bawang Merah,kab-sintang,2020-08-03,33000
Bawang Merah,kab-sintang,2020-09-03,30450
Bawang Merah,kab-sintang,2020-11-03,35850
Bawang Merah,kab-sintang,2020-12-03,37150
Bawang Merah,kab-sintang,2020-02-04,40000
Bawang Merah,kab-sintang,2020-03-04,36750
Bawang Merah,kab-sintang,2020-05-04,48850
Bawang Merah,kab-sintang,2020-06-04,59150
Bawang Merah,kab-sintang,2020-08-04,32950
Bawang Merah,kab-sintang,2020-09-04,30500
Bawang Merah,kab-sintang,2020-11-04,36050
Bawang Merah,kab-sintang,2020-12-04,37450
Bawang Merah,kab-sintang,2020-02-05,40250
Bawang Merah,kab-sintang,2020-03-05,36800
Bawang Merah,kab-sintang,2020-05-05,49200
Bawang Merah,kab-sintang,2020-06-05,58850
Bawang Merah,kab-sintang,2020-08-05,32800
Bawang Merah,kab-sintang,2020-10-05,30900
Bawang Merah,kab-sintang,2020-11-05,36300
Bawang Merah,kab-sintang,2020-01-06,37000
Bawang Merah,kab-sintang,2020-02-06,40700
Bawang Merah,kab-sintang,2020-03-06,36750
Bawang Merah,kab-sintang,2020-04-06,42000
Bawang Merah,kab-sintang,2020-05-06,49700
Bawang Merah,kab-sintang,2020-07-06,41900
Bawang Merah,kab-sintang,2020-08-06,32950
Bawang Merah,kab-sintang,2020-10-06,31250
Bawang Merah,kab-sintang,2020-11-06,36700
Bawang Merah,kab-sintang,2020-01-07,36600
Bawang Merah,kab-sintang,2020-02-07,41100
Bawang Merah,kab-sintang,2020-04-07,42000
Bawang Merah,kab-sintang,2020-05-07,57750
Bawang Merah,kab-sintang,2020-07-07,41350
Bawang Merah,kab-sintang,2020-08-07,32700
Bawang Merah,kab-sintang,2020-09-07,30850
Bawang Merah,kab-sintang,2020-10-07,31500
Bawang Merah,kab-sintang,2020-12-07,37500
Bawang Merah,kab-sintang,2020-01-08,36750
Bawang Merah,kab-sintang,2020-04-08,42150
Bawang Merah,kab-sintang,2020-05-08,50200
Bawang Merah,kab-sintang,2020-06-08,58250
Bawang Merah,kab-sintang,2020-07-08,41250
Bawang Merah,kab-sintang,2020-09-08,30900
Bawang Merah,kab-sintang,2020-10-08,31650
Bawang Merah,kab-sintang,2020-12-08,37500
Bawang Merah,kab-sintang,2020-01-09,36800
Bawang Merah,kab-sintang,2020-03-09,37250
Bawang Merah,kab-sintang,2020-04-09,42550
Bawang Merah,kab-sintang,2020-06-09,57700
Bawang Merah,kab-sintang,2020-07-09,40550
Bawang Merah,kab-sintang,2020-09-09,31000
Bawang Merah,kab-sintang,2020-10-09,31950
Bawang Merah,kab-sintang,2020-11-09,37400
Bawang Merah,kab-sintang,2020-12-09,47100
Bawang Merah,kab-sintang,2020-01-10,37150
Bawang Merah,kab-sintang,2020-02-10,41300
Bawang Merah,kab-sintang,2020-03-10,37300
Bawang Merah,kab-sintang,2020-04-10,46300
Bawang Merah,kab-sintang,2020-06-10,56750
Bawang Merah,kab-sintang,2020-07-10,40200
Bawang Merah,kab-sintang,2020-08-10,32950
Bawang Merah,kab-sintang,2020-09-10,31050
Bawang Merah,kab-sintang,2020-11-10,37750
Bawang Merah,kab-sintang,2020-12-10,37350
Bawang Merah,kab-sintang,2020-02-11,41400
Bawang Merah,kab-sintang,2020-03-11,37450
Bawang Merah,kab-sintang,2020-05-11,51650
Bawang Merah,kab-sintang,2020-06-11,56300
Bawang Merah,kab-sintang,2020-08-11,33100
Bawang Merah,kab-sintang,2020-09-11,31050
Bawang Merah,kab-sintang,2020-11-11,38000
Bawang Merah,kab-sintang,2020-12-11,37250
Bawang Merah,kab-sintang,2020-02-12,41200
Bawang Merah,kab-sintang,2020-03-12,37350
Bawang Merah,kab-sintang,2020-05-12,51950
Bawang Merah,kab-sintang,2020-06-12,55450
Bawang Merah,kab-sintang,2020-08-12,33150
Bawang Merah,kab-sintang,2020-10-12,33200
Bawang Merah,kab-sintang,2020-11-12,38200
Bawang Merah,kab-sintang,2020-01-13,37250
Bawang Merah,kab-sintang,2020-02-13,40650
Bawang Merah,kab-sintang,2020-03-13,37400
Bawang Merah,kab-sintang,2020-04-13,43250
Bawang Merah,kab-sintang,2020-05-13,52100
